股票,主营业务,公司亮点,概念贴合度排名,所属申万行业
瑞达期货,"主营业务：期货经纪业务、资产管理业务、期货投资咨询业务,并通过全资子公司分别开","公司亮点：国内大型全牌照期货公司,营业网点覆盖全国主要经济地区","概念贴合度排名：期货概念一,互联网金融”,福建自贸区,2024年报预增,海峡两岸,",所属申万行业：多元金融
广发证券,主营业务：投资银行业务、财富管理业务、交易及机构业务和投资管理业务。,"公司亮点：业务牌照齐全,业务结构均衡,综合金融服务能力行业领先","概念贴合度排名：期货概念一,互联网金融”,证金持股具,高股息精选,融资融券,深",所属申万行业：证券I
永安期货,主营业务：期货经纪业务、基金销售业务、资产管理业务、风险管理业务及境外金融服务,公司亮点：公司是浙江省内分支机构数量最多的期货公司之一,"概念贴合度排名：期货概念一,互联网金融”,国企改革,沪股通详情>>",所属申万行业：多元金融
华泰证券,主营业务：证券承销与保荐业务(国债、非金融企业债务融资工具、金融债券承销业务除,"公司亮点：""涨乐财富通""APP,位居证券公司类APP第一名","概念贴合度排名：期货概念一,互联网金融”,阿里巴巴概念四,2025一季报预增,参股铜",所属申万行业：证券I
新力金融,主营业务：融资租赁、小额贷款、软件和信息技术服务、典当、融资担保、供应链服务等,"公司亮点：安徽供销社旗下,主营融资租赁、小额贷款、典当等业务","概念贴合度排名：互联网金融一,数字经济一,化债概念(AMC概念)四,供销社,股权转让",所属申万行业：多元金融
生意宝,"主营业务：互联网信息服务,电子商务,专业搜索引擎和企业应用软件开发。",公司亮点：国内最大行业电子商务运营商和领先的综合B2B运营商之一,"概念贴合度排名：数据要素一,互联网金融一,移动支付具,电子商务,跨境电商,融资",所属申万行业：数字媒体
中科金财,主营业务：金融科技综合服务业务和数据中心综合服务。,公司亮点：面向数据中心、银行影像和IT服务管理领域的金融科技服务商,"概念贴合度排名：数据确权,Web3.0②,ChatGPT概念D,AIGC概念,AI智能体,Deep",所属申万行业：IT服务I
湘财股份,主营业务：证券业务、防水卷材业务、制药业务、食品加工业务以及贸易业务。,"公司亮点：湘财证券母公司,大智慧第二大股东","概念贴合度排名：互联网金融一,创投一,参股券商国,参股银行,股权转让(并购重组),",所属申万行业：证券I
太平洋,主营业务：证券经纪业务、信用业务、证券投资业务的开发和服务。,"公司亮点：公司作为云南本土的上市券商,经纪业务在云南市场占有率排名第一","概念贴合度排名：互联网金融一,西部大开发口,沪股通,融资融券详情>>",所属申万行业：证券I
东兴证券,主营业务：证券经纪;证券投资咨询;与证券交易、证券投资活动有关的财务顾问;证券,"公司亮点：中国东方资管旗下唯一上市金融平台,A股首家AMC系上市券商","概念贴合度排名：期货概念,化债概念(AMC概念),互联网金融,2024年报预增,国",所属申万行业：证券I
国联民生,主营业务：经纪及财富管理业务、投资银行业务、资产管理及投资业务、信用交易业务,"公司亮点：江苏无锡国资委旗下的综合类券商,拟并购民生证券","概念贴合度排名：互联网金融一,国企改革一,股权转让(并购重组),沪股通,融资融券译",所属申万行业：证券I
华林证券,主营业务：财富管理业务、投资银行业务、资产管理业务、自营业务、其他业务。,公司亮点：投资银行业务具有较强的市场竞争力,"概念贴合度排名：互联网金融一,2024年报预增一,创投具,融资融券,深股通,西部大",所属申万行业：证券I
山西证券,主营业务：财富管理业务板块、企业金融业务板块、资产管理业务板块、FICC业务板块、,公司亮点：FICC、期货业务成为公司的重要支撑,"概念贴合度排名：互联网金融一,创投一,国企改革具,融资融券,深股通,证金持股详",所属申万行业：证券I
国元证券,主营业务：综合金融服务的提供、研发和销售。,公司亮点：拥有零售经纪、投资银行、财富管理、投融资及场外市场等全牌照,"概念贴合度排名：互联网金融一,国企改革一,证金持股具,融资融券,深股通 详情>>",所属申万行业：证券I
爱建集团,主营业务：信托业务、融资租赁业务、资产管理与财富管理、私募股权投资。,"公司亮点：从事融资租赁、资产管理等业务,并控股爱建信托、参股爱建证券","概念贴合度排名：信托概念一,互联网金融”,参股券商具,沪股通,融资融券,物业管理",所属申万行业：多元金融
恒生电子,"主营业务：证券、金融、交通等行业计算机软件产品和系统集成的开发及销售,计算机及","公司亮点：优秀的金融科技公司,多个金融软件的市场占有率居全国前列","概念贴合度排名：华为鲲鹏一,信创四,华为异腾⑨,AIGC概念,ChatGPT概念,DeepSe",所属申万行业：软件开发
