股票,主营业务,公司亮点,概念贴合度排名,所属申万行业
宁波能源,"主营业务：热电联产、抽水蓄能、生物质发电、储能和综合能源服务,以及能源、环保行","公司亮点：宁波国资委旗下,宁波市最大的公用热电生产企业","概念贴合度排名：抽水蓄能一,生物质能发电,绿色电力具,储能,高股息精选,共同",所属申万行业：电力
长源电力,主营业务：电力、热力生产和经营。,公司亮点：武汉市区域内火力发电的电力生产先进企业,"概念贴合度排名：超超临界发电一,抽水蓄能一,绿色电力具,2024年报预增,创投,风",所属申万行业：电力
晋控电力,主营业务：电力商品、热力商品生产和销售。燃料、材料、电力高新技术、电力物资的开,"公司亮点：山西省最大的煤电企业,同时有光伏、风力发电业务","概念贴合度排名：超超临界发电,绿色电力,碳交易具,风电,国企改革,融资融券,",所属申万行业：电力
乐山电力,主营业务：电力业务、天然气业务、自来水业务、新兴业务、服务业务五大业务。,公司亮点：中国第一家电力股份制企业,"概念贴合度排名：绿色电力,天然气”,污水处理具,参股银行,充电桩,储能,地下",所属申万行业：电力
长江电力,主营业务：大型水电运营。,"公司亮点：中国综合实力最优质的电力企业,运行管理三峡、葛洲坝等电站","概念贴合度排名：同花顺中特估100,高股息精选,证金持股,绿色电力具,参股银",所属申万行业：电力
明星电力,主营业务：电力、自来水、综合能源服务等。,"公司亮点：拥有的遂宁市船山区、安居区供电范围内,市场占有率为100%","概念贴合度排名：钒电池,绿色电力,央企国企改革,充电桩,国企改革,融资融",所属申万行业：电力
福能股份,主营业务：电力、热力生产和销售。,"公司亮点：大力发展新型清洁能源发电,做强做大热电联产业务","概念贴合度排名：抽水蓄能,绿色电力,国企改革具,风电,福建自贸区,高股息精",所属申万行业：电力
三峡能源,主营业务：风能、太阳能的开发、投资和运营。,"公司亮点：公司在行业技术及影响力方面具有显著优势,注重陆上风电、光伏、海上风","概念贴合度排名：同花顺中特估100,抽水蓄能一,绿色电力具,储能,风电,光伏概念",所属申万行业：电力
京能电力,主营业务：电力、热力产品的生产及销售。,"公司亮点：北京地区最大的火力发电企业,环保和发电效率处于行业领先地位","概念贴合度排名：超超临界发电,绿色电力,证金持股』,2024年报预增,风电,高",所属申万行业：电力
新天绿能,主营业务：新能源发电业务及天然气销售业务。,公司亮点：中国石油华北地区第三大分销商和河北省领先的天然气分销商之一,"概念贴合度排名：天然气一,抽水蓄能一,绿色电力国,DeepSeek概念,储能,钒电池,",所属申万行业：电力
中绿电,"主营业务：风能和太阳能投资,开发,运营。","公司亮点：国资委所属鲁能集团旗下唯一上市平台,主营风能和太阳能投资、开发、运","概念贴合度排名：绿色电力,央企国企改革,国企改革,储能,风电,光热发电,",所属申万行业：电力
湖北能源,主营业务：能源投资、开发与管理。,公司亮点：聚焦电力、煤炭、天然气三大主业的省属大型企业,"概念贴合度排名：超超临界发电一,抽水蓄能一,天然气国,参股券商,风电,国企改革,",所属申万行业：电力
上海电力,主营业务：火电、风电、光伏、氢能、综合智慧能源、现代能源的供应和服务。,公司亮点：上海地区最大的电力生产企业,"概念贴合度排名：超超临界发电,绿色电力,证金持股具,储能,风电,光伏概念,",所属申万行业：电力
宝新能源,主营业务：新能源发电、金融投资。,公司亮点：新能源电力细分行业龙头,"概念贴合度排名：超超临界发电,绿色电力,参股券商具,创投,风电,融资融券,;",所属申万行业：电力
深圳能源,主营业务：各种常规能源和新能源的开发、生产、购销。,公司亮点：主营电力、燃气、蒸汽的开发和购销业务的国资控股企业,"概念贴合度排名：超超临界发电,高股息精选一,绿色电力口,天然气四,DeepSeek概",所属申万行业：电力
内蒙华电,主营业务：火力发电、风力发电、其他新能源发电、煤炭资源开采及蒸汽、热水的供应,"公司亮点：以火力发电、供热为主,兼顾部分风力发电及煤炭业务","概念贴合度排名：煤炭概念一,超超临界发电一,高股息精选,证金持股围,风电,光",所属申万行业：电力
通宝能源,主营业务：火力发电业务、配电业务。,"公司亮点：国内大型综合能源企业之一,山西省内拥有完善的220千伏电网结构","概念贴合度排名：绿色电力,证金持股,国企改革具,风电,沪股通,融资融券详情",所属申万行业：电力
黔源电力,主营业务：水力发电站的开发、建设与经营管理。,公司亮点：贵州地区主营水力、火力发电站(厂)的开发、建设与经营管理的企业,"概念贴合度排名：绿色电力,央企国企改革,国企改革,2025一季报预增,光伏概念",所属申万行业：电力
皖能电力,主营业务：电力、节能及相关项目投资、经营。,公司亮点：主营火力发电的安徽国资控股企业,"概念贴合度排名：超超临界发电一,天然气一,抽水蓄能具,参股券商,参股银行,储能,",所属申万行业：电力
太阳能,"主营业务：太阳能光伏电站的投资运营,太阳能光伏电池组件的生产销售。",公司亮点：中国国内装机容量最大的光伏企业,"概念贴合度排名：绿色电力,碳交易,央企国企改革,DeepSeek概念,TOPCON电池",所属申万行业：电力
广西能源,主营业务：电力生产和销售。,"公司亮点：拥有完整的发、供电网络,具备""厂网合一“的企业","概念贴合度排名：超超临界发电一,抽水蓄能一,绿色电力,DeepSeek概念,参股券商,",所属申万行业：电力
龙源电力,主营业务：风力、光伏发电。,公司亮点：全球最大风电运营商,"概念贴合度排名：绿色电力,碳交易,央企国企改革,DeepSeek概念,抽水蓄能,",所属申万行业：电力
甘肃能源,主营业务：水力、火力、风力、光伏发电业务。,公司亮点：集水电、风电、光电为一体的综合性清洁能源上市公司,"概念贴合度排名：超超临界发电,绿色电力,风电围,股权转让(并购重组),国企改革",所属申万行业：电力
吉电股份,主营业务：发电(风电、太阳能、水电、火电、分布式能源、气电、生物质、核能)、供,"公司亮点：升级发展火电,探索发展氢能、储能等新业态","概念贴合度排名：超超临界发电一,抽水蓄能一,绿色电力具,PPP概念,充电桩,储能,",所属申万行业：电力
浙江新能,主营业务：风电、光伏、水电、氢能、储能等可再生能源业务方向的投资、开发、建设、,公司亮点：控股股东浙能集团是浙江省能源产业门类最全、电力装机容量最大的能源企业,"概念贴合度排名：抽水蓄能,绿色电力,国企改革国,风电,光伏概念,沪股通,氢",所属申万行业：电力
中闽能源,"主营业务：新能源发电项目的投资开发及建设运营,包括风力发电、光伏发电、生物质发",公司亮点：福建省最早介入风电项目前期工作和开发建设的风电企业之一,"概念贴合度排名：生物质能发电,绿色电力,风电具,充电桩,福建自贸区,光伏概",所属申万行业：电力
闽东电力,主营业务：电力生产与开发。,"公司亮点：福建宁德国资委旗下,福建省最大的电力股份制企业","概念贴合度排名：绿色电力,碳交易一,航运概念国,创投,风电,国企改革,融资融",所属申万行业：电力
嘉泽新能,主营业务：可再生能源发电、售电及其配套服务的综合性新能源电力。,公司亮点：集风力、光伏发电、智能微电网的于一体的新能源企业,"概念贴合度排名：绿色电力,风电,高股息精选国,储能,沪股通,回购增持再贷款",所属申万行业：电力
豫能控股,主营业务：电力产品的生产和销售。,公司亮点：火电装机容量位居河南省第二位,"概念贴合度排名：超超临界发电,绿色电力,抽水蓄能具,充电桩,储能,创投,风",所属申万行业：电力
