股票,主营业务,公司亮点,概念贴合度排名,所属申万行业
睿能科技,主营业务：工业自动化控制产品的研发、生产、销售和IC产品分销。,公司亮点：拥有了多项针织横机电控系统、IC产品行业领先的核心技术,"概念贴合度排名：汽车电子,芯片概念一,存储芯片具,福建自贸区,工业互联网,工业",所属申万行业：其他电子IⅡ
博敏电子,主营业务：高精密印制电路板的研发、生产和销售。,公司亮点：高端印制电路板设计和加工的国家级高新技术企业,"概念贴合度排名：PCB概念,MiniLED,EDR概念⑤,5G,AIPC,比亚迪概念,存储,",所属申万行业：元件
太极实业,主营业务：半导体业务、电子高科技工程技术服务业务、光伏电站投资运营业务。,公司亮点：主营业务包括半导体业务、工程技术服务和光伏电站投资运营,"概念贴合度排名：OLED,先进封装,芯片概念四,存储芯片,光伏建筑一体化,国企",所属申万行业：工程咨询服
中京电子,主营业务：印制电路板(PCB)的研发、生产、销售与服务。,"公司亮点：国内少数兼具刚柔印制电路板批量生产与较强研发能力的PCB制造商,具备二","概念贴合度排名：毫米波雷达一,机器人概念口,小米概念国,5G,6G概念,AI PC,AF",所属申万行业：元件
康强电子,主营业务：半导体封装材料引线框架、键合丝等半导体封装材料的生产、销售。,"公司亮点：国内最大塑封引线框架生产基地,国内第二大的金丝生产企业","概念贴合度排名：存储芯片,先进封装,芯片概念四,核电,融资融券,移动支付,",所属申万行业：半导体
北方华创,主营业务：半导体基础产品的研发、生产、销售和技术服务。,公司亮点：国内主流高端电子工艺装备供应商,"概念贴合度排名：国家大基金持股①,中芯国际概念一,存储芯片具,OLED,第三代半导",所属申万行业：半导体
兆易创新,主营业务：存储器、微控制器和传感器的研发、技术支持和销售。,"公司亮点：主要产品为闪存芯片,半导体存储器领域领导企业","概念贴合度排名：MCU芯片,存储芯片,汽车芯片具,2024年报预增,传感器,沪股",所属申万行业：半导体
博杰股份,主营业务：专注于智能制造领域工业自动化、智能化设备及系统解决方案。,公司亮点：专注于工业自动化设备与配件的研发,"概念贴合度排名：减速器一,新型工业化,机器人概念D,5G,MR(混合现实), facebo",所属申万行业：自动化设备
长电科技,主营业务：集成电路制造和技术服务。,"公司亮点：世界第三、中国大陆第一的芯片封测龙头,业务覆盖了高中低各种集成电路","概念贴合度排名：同花顺果指数,国家大基金持股一,存储芯片具,2025一季报预增,算第",所属申万行业：半导体
华天科技,主营业务：集成电路封装测试。,"公司亮点：中国大陆排名前三的半导体封装测试公司,掌握chiplet相关技术","概念贴合度排名：国家大基金持股,先进封装一,华为海思概念股国,2024年报预增,5",所属申万行业：半导体
好上好,"主营业务：电子元器件分销,主要向消费电子、物联网、照明、工业控制、汽车电子及",公司亮点：外销为主的电子元器件分销商,"概念贴合度排名：存储芯片,MCU芯片,华为海思概念股具,AI眼镜,机器人概念,",所属申万行业：其他电子IⅡ
中电港,主营业务：电子元器件分销、设计链服务、供应链协同配套和产业数据服务。,"公司亮点：中国电子信息产业集团旗下,境内规模最大的电子元器件分销商","概念贴合度排名：华为海思概念股,机器视觉一,存储芯片,DeepSeek概念,MCU芯",所属申万行业：其他电子IⅡ
赛腾股份,"主营业务：智能制造装备的研发、设计、生产、销售及技术服务,为客户实现智能化生产",公司亮点：自动化生产设备行业领先的产品研发设计和定制化生产能力,"概念贴合度排名：同花顺果指数一,无线耳机一,苹果概念四,存储芯片,沪股通,融资融",所属申万行业：自动化设备
深科技,主营业务：存储半导体、高端制造、计量智能终端业务。,"公司亮点：国内最大的独立DRAM内存芯片封测企业,全球第二大硬盘磁头制造商","概念贴合度排名：存储芯片,先进封装一,第三代半导体四,超级电容,储能,共封装)",所属申万行业：消费电子
大港股份,主营业务：集成电路和园区环保服务。,公司亮点：孙公司苏州科阳是少数掌握晶圆级芯片封装技术的公司之一,"概念贴合度排名：存储芯片具,汽车芯片一,芯片概念、四,创投,固废处理,国企改革,;",所属申万行业：半导体
大为股份,主营业务：新能源+汽车业务以及半导体存储+智能终端业务。,公司亮点：国内汽车电涡缓速器龙头企业,"概念贴合度排名：WiFi6,存储芯片,汽车芯片D,PCB概念,比亚迪概念,创投,砖",所属申万行业：半导体
紫光国微,主营业务：集成电路芯片设计、服务、销售。,公司亮点：国内领先的智能安全芯片、特种集成电路、存储器芯片研制企业,"概念贴合度排名：MCU芯片,汽车芯片,存储芯片具,5G,EDA设计软件,ETC,车I",所属申万行业：半导体
通富微电,"主营业务：集成电路封装测试服务提供商,为全球客户提供设计仿真和封装测试一站式服",公司亮点：国内规模最大、产品品种最多的集成电路封装测试企业之一,"概念贴合度排名：国家大基金持股,存储芯片一,同花顺新质50具,2024年报预增,AII",所属申万行业：半导体
上海贝岭,主营业务：集成电路、功率芯片的设计及开发。,"公司亮点：中国电子旗下的集成电路设计企业,国内集成电路产品主要供应商之一","概念贴合度排名：汽车芯片,MCU芯片,存储芯片具,长三角一体化,充电桩,低空线",所属申万行业：半导体
德明利,"主营业务：闪存主控芯片设计、研发,存储模组产品应用方案的开发、优化,以及存储模",公司亮点：在全球存储卡、存储盘等移动存储领域拥有一定市场份额,"概念贴合度排名：AIPC,存储芯片,数据中心,2024年报预增,共封装光学(CPO),",所属申万行业：半导体
雅克科技,主营业务：电子材料业务、LNG保温绝热板材相关业务和阻燃剂业务。,公司亮点：全球著名的磷酸酯阻燃剂生产企业,"概念贴合度排名：光刻胶,中芯国际概念,OLED③,存储芯片,氟化工概念,国家大",所属申万行业：半导体
深南电路,主营业务：印制电路板、封装基板及电子装联产品的研发、生产及销售。,"公司亮点：中国航空工业集团旗下,印制电路板行业全球前十,中国封装基板领域的先","概念贴合度排名：PCB概念,富士康概念,数据中心⑨,5G,存储芯片,国家大基金",所属申万行业：元件
盈方微,主营业务：电子元器件分销和集成电路芯片的研发、设计和销售。,公司亮点：外销为主的电子元器件分销商,"概念贴合度排名：存储芯片,芯片概念”,虚拟现实具,机器人概念,人民币贬值受益,",所属申万行业：其他电子IⅡ
兴森科技,"主营业务：专注于线路板产业链,围绕PCB,半导体两大主线开展。",公司亮点：国内最大专业印制电路板样板生产商,"概念贴合度排名：6G概念,5G,PCB概念国,存储芯片,低空经济,华为概念,机器",所属申万行业：元件
