股票,公司亮点,主营业务,收入,净利润,毛利率
保隆科技,公司亮点：轮胎压力监测系统(TPMS)行业龙头,主营业务：汽车智能化和轻量化产品的研发、生产和销售。,收入：50.26亿元同比增长20.96%+,净利润：7.13元+总股本:2.14亿股,毛利率：26.20%+
日发精机,"公司亮点：密机械研发、生产和销售的公司,综合服务水平较强",主营业务：数字化智能机床及产线、航空航天智能装备及产线、智能制造生产管,收入：14.54亿元同比增长0.61%+,净利润：-0.66亿元同比下降20.99%+,毛利率：18.92%+
长青科技,公司亮点：国内三明治复合材料产品先行企业,主营业务：轨道交通业务及建筑装饰业务。,收入：4.60亿元同比下降13.16%+,净利润：0.60亿元同比下降16.41%+,毛利率：31.69%+
海得控制,"公司亮点：主营工业自动化领域系统集成业务和产品分销,国家高新技术企业",主营业务：工业电气自动化业务、工业信息化业务、新能源业务等三大板块。,收入：16.52亿元同比下降32.7%+,净利润：-1.08亿元同比下降207.54%+,毛利率：14.82%+
金固股份,公司亮点：中国较大的钢制滚型车轮制造企业,主营业务：汽车车轮的研发、生产、销售。,收入：28.86亿元同比增长14.08%+,净利润：0.32亿元同比增长1693.86%+,毛利率：8.24%+
金发科技,公司亮点：国内产品最齐全、产量最大的改性塑料生产企业之一,主营业务：化工新材料的研发、生产和销售。,收入：404.65亿元同比增长18%+,净利润：6.83亿元同比增长41.02%+,毛利率：12.22%+
雅化集团,公司亮点：以锂矿锂盐产业和民爆产业为主业,主营业务：锂业务和民爆业务。,收入：59.24亿元同比下降37.45%+,净利润：1.55亿元同比下降80.85%+,毛利率：16.13%+
信质集团,公司亮点：全球领先的汽车发电机定子生产企业,主营业务：各类电机核心零部件业务的研发、制造和销售业务。,收入：44.76亿元同比增长36.38%+,净利润：0.87亿元同比下降48.42%+,毛利率：8.85%+
科力尔,"公司亮点：主要产品单相罩极电机,其产销量在国内处于领先地位",主营业务：电机与智能驱控技术的开发、生产与销售。,收入：12.24亿元同比增长26.37%+,净利润：0.47元+总股本:6.21亿股,毛利率：19.07%+
东风科技,公司亮点：国内前五大整车生产厂商之一,主营业务：汽车零部件研发、制造、销售。,收入：50.65亿元同比下降4.74%+,净利润：0.61亿元同比下降5.33%+,毛利率：11.94%+
拓邦股份,公司亮点：国内一流的智能控制控制器产品制造商,主营业务：电器产品智能控制、智能电源及其控制、高效照明产品及其控制、高,收入：105.01亿元同比增长16.78%+,净利润：6.71亿元同比增长30.25%+,毛利率：22.97%+
高德红外,公司亮点：国内规模最大的红外热像仪生产厂商,主营业务：红外焦平面探测器芯片、红外热像整机及以红外热成像为核心的综合,收入：18.12亿元同比增长12.38%+,净利润：0.50亿元同比下降82.42%+,毛利率：52.57%+
国机精工,公司亮点：国内航天特种轴承行业龙头企业,主营业务：轴承、超硬材料及制品、供应链管理与服务。,收入：26.58亿元同比下降4.53%+每,净利润：2.80亿元同比增长8.11%+,毛利率：35.27%+
麦迪科技,"公司亮点：绵阳安州区国资委旗下,主营临床医疗管理信息化(CIS),拥有辅助生",主营业务：提供临床医疗管理信息系统(CIS)系列应用软件和临床信息化整体解决,收入：3.60亿元同比增长2.93%+,净利润：-1.67亿元同比下降81.64%+,毛利率：12.87%+
联诚精密,公司亮点：主要产品应领域有汽车制造、机械制造(农机、工程机械)等,主营业务：各种精密机械零部件的研发设计、生产和销售。,收入：8.11亿元同比下降4.45%+,净利润：-0.24亿元同比下降394.96%+,毛利率：14.09%+
风华高科,公司亮点：国内最大的新型元器件及电子信息基础产品科研、生产和出口基地,主营业务：研制、生产、销售电子元器件、电子材料等。,收入：35.72亿元同比增长10.25%+,净利润：2.65亿元同比增长138.17%+,毛利率：19.68%+
柳工,公司亮点：工程机械行业大型骨干企业,主营业务：工程机械及关键零部件的研发、生产、销售和服务。,收入：300.63亿元同比增长9.24%+,净利润：13.27亿元同比增长52.92%+,毛利率：22.50%+
凤凰光学,"公司亮点：国内光学行业第一家上市公司,高科技光学器材制造业领先企业",主营业务：光学产品、智能控制器和锂电芯产品的研发、制造和销售。,收入：12.17亿元同比下降7.55%+,净利润：-0.20亿元同比增长42.59%+,毛利率：14.88%+
中京电子,公司亮点：国内少数兼具刚柔印制电路板批量生产与较强研发能力的PCB制造商,主营业务：印制电路板(PCB)的研发、生产、销售与服务。,收入：20.75亿元同比增长7.72%+,净利润：-0.94亿元同比增长15.28%+,毛利率：11.09%+
蔚蓝锂芯,"公司亮点：横跨金属物流配送、LED芯片、新能源锂电三大领域,拥有目前国内",主营业务：锂电池、LED芯片及金属物流配送。,收入：67.56亿元同比增长29.38%+,净利润：4.88亿元同比增长246.43%+,毛利率：17.63%+
