股票,主营业务,公司亮点,概念贴合度排名,所属申万行业
若羽臣,主营业务：品牌管理、自有品牌及代运营业务。,公司亮点：全球优质快消品品牌的电子商务综合服务商,"概念贴合度排名：拼多多概念、一,阿里巴巴概念一,虚拟数字人国,2024年报预增,AIGC",所属申万行业：互联网电商
好想你,主营业务：红枣和健康锁鲜食品的研发、生产、销售。,公司亮点：中国红枣龙头企业,"概念贴合度排名：社区团购一,人造肉一,预制菜国,IP经济(谷子经济),参股银行,创技",所属申万行业：休闲食品
妙可蓝多,"主营业务：以奶酪为核心的特色乳制品的研发、生产和销售,也从事液态奶的研发、生产",公司亮点：国内少数同时掌握原制奶酪和再制奶酪生产技术的企业,"概念贴合度排名：乳业一,社区团购,网络直播⑨,电子商务,沪股通,融资融券,乳",所属申万行业：饮料乳品
大湖股份,主营业务：健康产品的生产与销售业务;康复、护理为主的健康医疗服务业务。,公司亮点：全国最大的以淡水鱼养殖为主营业务的上市公司,"概念贴合度排名：预制菜,高压氧舱,电子商务国,白酒概念,创投,回购增持再贷款",所属申万行业：渔业
一鸣食品,主营业务：新鲜乳品与烘焙食品的研发、生产、销售及连锁经营业务。,公司亮点：农业产业化国家重点龙头企业,"概念贴合度排名：社区团购,乳业,电子商务国,长三角一体化,共同富裕示范区,)",所属申万行业：饮料乳品
祖名股份,主营业务：豆制品的研发、生产和销售。,公司亮点：豆制品国家标准和国际标准的主要起草单位之一,"概念贴合度排名：社区团购一,人造肉一,预制菜具,宠物经济,电子商务,抖音小店,:",所属申万行业：农产品加工
煌上煌,主营业务：酱卤肉制品、米制品及少量佐餐凉菜等其他产品的开发、生产和销售。,公司亮点：专注于酱卤肉制品及佐餐凉菜快捷消费食品的开发、生产和销售,"概念贴合度排名：预制菜,社区团购一,电子商务具,冷链物流,融资融券详情>>",所属申万行业：休闲食品
银座股份,主营业务：商品的批发与零售业务。,公司亮点：零售门店达46家,"概念贴合度排名：社区团购…,网络直播,电子商务国,充电桩,抖音概念(字节概念),",所属申万行业：一般零售
广弘控股,主营业务：食品板块冷冻食品储藏供应业务和农牧板块畜禽养殖业务。,公司亮点：肉类食品供应为主和教育出版物发行为辅的优质企业,"概念贴合度排名：广东自贸区一,养鸡一,预制菜具,创投,国企改革,冷链物流,社区",所属申万行业：食品加工
金字火腿,主营业务：特色纯肉制品的生产、制作和销售。,"公司亮点：金华火腿行业龙头企业,旗下食品城是浙江冷冻食品的集散中心","概念贴合度排名：人造肉…,网络直播,电子商务国,共同富裕示范区,社区团购,深",所属申万行业：食品加工
光明乳业,"主营业务：各类乳制品的开发、生产和销售,奶牛的饲养、培育,物流配送等业务。","公司亮点：国内排名第三的乳制品企业,市场重点在华东,主打新鲜乳品","概念贴合度排名：乳业,超级品牌一,社区团购⑨,国企改革,沪股通,进口博览会,",所属申万行业：饮料乳品
欧亚集团,主营业务：综合百货业务。,"公司亮点：吉林省的商业龙头企业之一,长春地区效益最好的百货门店之一","概念贴合度排名：社区团购,免税店,网络直播具,冰雪产业,电子商务,国企改革,",所属申万行业：一般零售
浙江东日,主营业务：农副产品批发交易市场业务、生鲜食材配送业务(配菜业务)和豆制品生产,公司亮点：拥有全国最早建成的专业灯具市场之一,"概念贴合度排名：乡村振兴一,共同富裕示范区一,冷链物流四,参股银行,长三角一体化",所属申万行业：一般零售
