股票,公司亮点,主营业务,收入,净利润,毛利率
合众思壮,公司亮点：国内较早进入卫星导航定位领域的公司,主营业务：高精度卫星导航技术为基础进行相关产品的研发、制造和销售。,收入：3.34亿元同比增长25.17%+,净利润：0.03亿元同比增长108.07%+,毛利率：37.43%+
盛路通信,"公司亮点：主营通信天线和军工电子,超宽带上下变频技术国内领先",主营业务：民用通信和微波电子两大主营业务。,收入：2.79亿元同比下降0.05%+,净利润：0.25亿元同比下降27.05%+,毛利率：27.68%+
星网宇达,公司亮点：国内知名的军事训练器材供应商,主营业务：信息感知、卫星通信以及无人系统业务。,收入：2.32亿元同比下降66.53%+,净利润：-0.24亿元同比下降121.12%+,毛利率：38.06%+
北斗星通,"公司亮点：推动北斗产业化应用,其导航芯片、板卡、天线等产品已广泛应用",主营业务：芯片及数据服务、导航产品、陶瓷元器件。,收入：14.98亿元同比下降63.3%+,净利润：-3.50亿元同比下降316.98%+,毛利率：34.20%+
航天科技,公司亮点：航天科工集团旗下的航天飞行器和汽车电子产品制造公司,主营业务：航天应用产品、汽车电子产品、车联网及工业物联网、石油仪器设备,收入：68.98亿元同比增长1.37%+,净利润：0.12亿元同比增长108.42%+,毛利率：17.69%+
航天电器,公司亮点：航天科工集团旗下的电子元器件骨干企业之一,主营业务：高端连接器与互连一体化产品、微特电机与控制组件、继电器、光电,收入：50.25亿元同比下降19.08%+,净利润：3.47亿元同比下降53.75%+,毛利率：38.34%+
航天发展,公司亮点：国家发电设备定点生产厂、国家指定承担军品生产任务的重点骨干企,主营业务：蓝军体系及装备、新一代通信与指控装备、空间信息应用、数据智能,收入：18.69亿元同比增长0.34%+,净利润：-16.73亿元同比增长13.07%+,毛利率：-11.79%+
航天电子,公司亮点：从事航天电子测控、航天电子对抗、航天制导的高科技公司,主营业务：航天电子信息、无人系统装备、电线电缆等产品的研发、生产与销售,收入：142.80亿元同比下降23.75%+,净利润：5.48亿元同比增长4.42%+,毛利率：20.99%+
中国卫星,公司亮点：专注于宇航制造与卫星应用两大主业的企业集团,主营业务：宇航制造和卫星应用业务。,收入：51.56亿元同比下降25.06%+,净利润：0.28亿元同比下降82.28%+,毛利率：11.77%+
中航高科,公司亮点：航空复合材料原材料技术和产业规模在国内处于领先水平,"主营业务：“航空新材料“和“高端智能装备""两大板块,业务范围涵盖航空新材料",收入：50.72亿元同比增长6.12%+,净利润：11.53亿元同比增长11.75%+,毛利率：38.83%+
中航机载,公司亮点：航空机载电子设备领域的领先企业,主营业务：航空电子产品的研发、生产和销售。,收入：238.80亿元同比下降17.68%+,净利润：10.41亿元同比下降44.83%+,毛利率：28.18%+
派克新材,公司亮点：国内少数几家可供应航空、航天、舰船等领域环形锻件的高新技术企,主营业务：金属锻件的研发、生产和销售。,收入：24.82亿元同比下降11.2%+,净利润：2.47亿元同比下降41.65%+,毛利率：20.61%+
雷科防务,公司亮点：从事雷达系统、智能弹药、卫星应用、安全存储等的高科技企业,主营业务：雷达系统业务群、卫星应用业务群、智能控制业务群、安全存储业务,收入：2.14亿元同比下降10.31%+,净利润：-0.37亿元同比下降17.55%+,毛利率：32.81%+
海格通信,公司亮点：从事军用通信设备、导航设备研制的国资控股企业,主营业务：无线通信领域、北斗导航领域、航空航天领域、数智生态领域。,收入：49.20亿元同比下降23.71%+,净利润：None,毛利率：28.79%+
雷赛智能,公司亮点：智能装备运动控制领域的知名品牌和行业领军企业,主营业务：智能装备运动控制核心部件的研发、生产、销售与服务。,收入：11.55亿元同比增长9.62%+,净利润：1.44亿元同比增长56.36%+,毛利率：38.64%+
中信海直,"公司亮点：全国性甲类通用航空企业,我国通用航空业首家上市公司",主营业务：海上石油、应急救援、陆上通航、通航维修、引航风电、低空经济。,收入：21.63亿元同比增长9.83%+,净利润：3.03亿元同比增长26.81%+,毛利率：23.04%+
威海广泰,"公司亮点：国内空港地面设备行业龙头企业,全球空港地面设备品种最全的供应",主营业务：空港装备、应急救援装备以及军工装备业务。,收入：28.88亿元同比增长20.09%+,净利润：0.75亿元同比下降40.62%+,毛利率：23.38%+
山河智能,公司亮点：工程装备、特种装备、航空装备同步发展的现代化制造企业,"主营业务：锚定工程机械、航空装备与服务、特种装备三大业务领域,为全球客",收入：51.65亿元同比下降1.85%+,净利润：0.35亿元同比下降25.59%+,毛利率：27.57%+
四创电子,公司亮点：在雷达电子、安全电子领域具有较强竞争力,主营业务：气象雷达、空管雷达、低空监视雷达、新体制雷达等感知产品业务印,收入：10.92亿元同比增长1.37%+,净利润：-0.40亿元同比增长53.81%+,毛利率：16.61%+
四维图新,公司亮点：国内导航电子地图行业的领先企业,主营业务：导航地图、智能驾驶、汽车智能网联、汽车电子芯片等产品的研发、,收入：25.28亿元同比增长9.06%+,净利润：None,毛利率：34.69%+
