股票,主营业务,公司亮点,概念贴合度排名,所属申万行业
新华锦,"主营业务：围绕""新贸易、新材料""开展业务经营,一是发制品、纺织服装的出口和跨境电","公司亮点：国际发制品知名企业,境内外拥有众多自主品牌","概念贴合度排名：旅游概念,中韩自贸区,电子商务,养老概念国,机器人概念,",所属申万行业：饰品
丽人丽妆,主营业务：化妆品网络零售服务商。,公司亮点：中国知名的线上化妆品营销零售服务商,"概念贴合度排名：拼多多概念一,网络直播一,预制菜具,阿里巴巴概念,创投,电子商务",所属申万行业：互联网电商
若羽臣,主营业务：品牌管理、自有品牌及代运营业务。,公司亮点：全球优质快消品品牌的电子商务综合服务商,"概念贴合度排名：拼多多概念、一,阿里巴巴概念一,虚拟数字人国,2024年报预增,AIGC",所属申万行业：互联网电商
跨境通,主营业务：跨境出口电商业务、跨境进口电商业务。,公司亮点：国内跨境电商龙头企业,"概念贴合度排名：拼多多概念、四,网红经济一,网络直播四,电子商务,互联网金融,跨",所属申万行业：互联网电商
永泰运,主营业务：跨境化工物流供应链的设计、开发和服务。,"公司亮点：为危化品企业提供一站式的在线国际物流综合服务,服务范围辐射全球200多","概念贴合度排名：共同富裕示范区,智能物流一,新能源汽车具,工业互联网,换电概念",所属申万行业：物流
狮头股份,"主营业务：为品牌方提供一站式全渠道代运营业务和经销业务,属电子商务服务业。","公司亮点：转型成为电商服务提供商,涉及宠粮、美妆、食品和日化用品等领域","概念贴合度排名：小红书概念四,净水概念四,宠物经济具,电子商务,股权转让(并购重",所属申万行业：互联网电商
洪兴股份,主营业务：家居服饰研发、设计、生产与销售。,公司亮点：国内较早专业从事家居服饰产品设计、生产、销售的行业龙头企业之一,"概念贴合度排名：三胎概念一,网络直播,电子商务国,IP经济(谷子经济),跨境电商,",所属申万行业：服装家纺
华瓷股份,主营业务：日用陶瓷制品的研发、设计、生产和销售。,公司亮点：国内最大的出口日用陶瓷生产商,"概念贴合度排名：参股银行,电子商务,跨境电商国,NFT概念,华为概念,人民币贬",所属申万行业：家居用品
众鑫股份,主营业务：自然降解植物纤维模塑产品的研发、生产和销售。,"公司亮点：外销为主的餐饮具厂商,纸浆模塑餐饮具全球市占率居前","概念贴合度排名：跨境电商,节能环保一,注册制次新股具,可降解塑料,人民币贬值受",所属申万行业：家居用品
欧亚集团,主营业务：综合百货业务。,"公司亮点：吉林省的商业龙头企业之一,长春地区效益最好的百货门店之一","概念贴合度排名：社区团购,免税店,网络直播具,冰雪产业,电子商务,国企改革,",所属申万行业：一般零售
利群股份,主营业务：零售连锁、物流供应链及食品生产加工。,公司亮点：以商业物流、商业零售为主业的大型商业集团,"概念贴合度排名：预制菜,统一大市场口,冷链物流具,电子商务,抖音概念(字节概念)",所属申万行业：一般零售
南极电商,"主营业务：以电商渠道为主,基于品牌授权业务、自营零售,整合供应链上、中、下游资","公司亮点：从事品牌授权、电商生态综合服务,拥有丰富的电商运营经验","概念贴合度排名：网络直播,网红经济一,露营经济具,长三角一体化,创投,电子商务",所属申万行业：互联网电商
广博股份,"主营业务：文教办公用品的制造与销售,目前业务覆盖文教办公用品及跨境电商。",公司亮点：国内纸制品文具行业龙头企业,"概念贴合度排名：IP经济(谷子经济),腾讯概念一,创投,电子商务,跨境电商,数字经",所属申万行业：文娱用品
东百集团,主营业务：商业零售和仓储物流。,公司亮点：福建省较大的百货零售为主的企业,"概念贴合度排名：免税店,网络直播,物业管理具,阿里巴巴概念,福建自贸区,海",所属申万行业：一般零售
嘉欣丝绸,主营业务：丝绸产品生产和销售。,"公司亮点：丝绸产品的生产和销售超过三十年,行业内知名企业","概念贴合度排名：电子商务,网络直播,跨境电商国,长三角一体化,高股息精选,",所属申万行业：服装家纺
吉宏股份,主营业务：包装业务的生产、设计和销售。,"公司亮点：从事快速消费品包装领域及互联网广告业务,产品远销海外多地区","概念贴合度排名：AIGC概念四,抖音概念(字节概念)②,ChatGPT概念,宠物经济,电子",所属申万行业：互联网电商
小商品城,"主营业务：从事市场开发经营及配套服务,提供网上交易平台和服务,网上交易市场开发","公司亮点：义乌国资委旗下,全球最大的小商品集散地,拥有支付牌照","概念贴合度排名：网红经济,IP经济(谷子经济),虚拟数字人国,DeepSeek概念,阿里",所属申万行业：一般零售
遥望科技,主营业务：数字营销相关业务。,"公司亮点：皮鞋、皮革制品的生产和销售,拥有星期六等多个自主品牌","概念贴合度排名：快手概念四,小红书概念四,NFT概念D,Web3.0,电子商务,抖音概;",所属申万行业：广告营销
嘉诚国际,主营业务：为制造业客户提供定制化物流解决方案及全程供应链一体化综合物流服务。,公司亮点：国内领先的物流综合服务商,"概念贴合度排名：统一大市场具,自由贸易港口,跨境电商具,阿里巴巴概念,低空经济,",所属申万行业：物流
东方嘉盛,主营业务：为客户提供一体化供应链服务和产品采购分销交易服务。,"公司亮点：国内较早涉足供应链管理行业的本土企业之一,行业内较高知名度","概念贴合度排名：光刻机,智能物流一,粤港澳大湾区,DeepSeek概念,电子商务,",所属申万行业：物流
天元股份,主营业务：快递电商包装印刷产品的研发、设计、生产、销售和服务。,公司亮点：国内少有的具备快递电商包装印刷全品类综合服务能力的企业,"概念贴合度排名：跨境电商,电子商务,节能环保具,工业互联网,可降解塑料,冷",所属申万行业：包装印刷
焦点科技,主营业务：全链路外贸服务综合平台、外贸AI应用业务、跨境电子商务业务、线上线下,"公司亮点：跨境电商基础设施领先企业,为国内出口型中小企业提供电子商务服务20余","概念贴合度排名：ERP概念、,AIGC概念、,多模态AI具,AI智能体,参股银行,创投,!",所属申万行业：互联网电商
青岛金王,主营业务：新材料蜡烛及工艺制品业务、化妆品业务和供应链业务。,"公司亮点：亚洲第一、全球排名居前的蜡烛制品生产商,A股彩妆第一股","概念贴合度排名：网红经济,网络直播四,C2M概念国,2024年报预增,参股银行,电",所属申万行业：家居用品
生意宝,"主营业务：互联网信息服务,电子商务,专业搜索引擎和企业应用软件开发。",公司亮点：国内最大行业电子商务运营商和领先的综合B2B运营商之一,"概念贴合度排名：数据要素一,互联网金融一,移动支付具,电子商务,跨境电商,融资",所属申万行业：数字媒体
浔兴股份,主营业务：拉链、精密模具、金属和塑料冲压铸件的研发、生产和销售。,"公司亮点：国内规模最大、品种最多、规格最齐全的拉链制造企业,兼营跨境电商业务","概念贴合度排名：跨境电商,电子商务,网红经济具,跨境支付(CIPS)详情>>",所属申万行业：纺织制造
天元股份,主营业务：快递电商包装印刷产品的研发、设计、生产、销售和服务。,"公司亮点：国内少有的具备快递电商包装印刷全品类综合服务能力的企业","概念贴合度排名：跨境电商，电子商务，节能环保，工业互联网，可降解塑料",所属申万行业：包装印刷
